"population","temperature","trait","mean.herit","se.herit","herit.upper.CI","herit.lower.CI","mean.var.add","se.var.add","var.add.upper.CI","var.add.lower.CI","mean.var.pheno","se.var.pheno","var.pheno.upper.CI","var.pheno.lower.CI"
"LK-Vendace","2.0°C","Embryo Survival",0.0877275536839839,0.00317723008265698,0.336681073678002,0,0.579163632279538,0.0216676173172764,2.22218522350424,0,6.64448904873491,0.0423465573006388,9.84734340374151,4.37263631369549
"LK-Vendace","4.5°C","Embryo Survival",0.0211135007470479,0.00116448786146394,0.126396121613129,0,0.11346106456698,0.00633825951580384,0.702383110510499,0,5.37978144378039,0.020798768249512,6.83763119696919,4.28497656973323
"LK-Vendace","7.0°C","Embryo Survival",0.125919464943232,0.00351551144208038,0.373264167269805,0,0.692003386588596,0.0202092545480456,2.15820861279466,0,5.45584992760632,0.0225516928210576,7.02198302855429,4.1417554492615
"LK-Vendace","9.0°C","Embryo Survival",0.142982122699922,0.00250541322382642,0.310803917053647,3.29256760289968e-10,0.79947119313653,0.0146243540631273,1.79991852089109,1.73730765071042e-09,5.57395213874973,0.0186847392889122,6.77809062454417,4.59365577289885
"LK-Whitefish","2.0°C","Embryo Survival",0.012830232760016,0.00136853661069425,0.164694794750885,0,0.0959859382493221,0.0106716833294892,1.17269065647281,0,7.74052820309866,0.0486264020318924,11.5782286916618,5.32302482750893
"LK-Whitefish","4.5°C","Embryo Survival",0.209638992985144,0.00379115591052034,0.451750505736092,2.48888479536507e-10,1.1567560755875,0.0249975261292802,3.05082734435388,1.08598166914862e-09,5.26232997338499,0.028374452037014,7.32417886722277,3.84564589006276
"LK-Whitefish","7.0°C","Embryo Survival",0.0861368490603567,0.00373521022603096,0.385945845885655,0,0.590199401204964,0.0273355084288987,2.84734238739158,0,6.78631588741594,0.0442068319745237,10.0896997344492,4.65633199506438
"LK-Whitefish","9.0°C","Embryo Survival",0.300994536204591,0.00530331838997877,0.625971962060685,0,2.29525050965608,0.057190431108945,6.94361634357551,0,7.17897771905379,0.0909422392880045,15.2413020171057,3.72112254862577
"LS-Cisco","2.0°C","Embryo Survival",0.0271945924406648,0.00158719250353802,0.17099561147193,0,0.178971178887648,0.0106477077806201,1.21029061359496,0,6.53381969069844,0.0325455103334716,8.97296308390054,4.89032220421485
"LS-Cisco","4.5°C","Embryo Survival",0.015326781087825,0.00130050262299114,0.152300275288419,0,0.190139018967862,0.0166560941561717,1.88160014836343,0,12.2275966392011,0.0686680165440191,17.24180601365,8.79754156540808
"LS-Cisco","7.0°C","Embryo Survival",0.0363807242461822,0.00201453660208142,0.215459443896262,0,0.632547594757558,0.036596878292952,3.55820070009491,0,17.1934510808789,0.0929310512364695,24.3213096273118,12.5270121254738
"LS-Cisco","9.0°C","Embryo Survival",0.00848810528575827,0.000836177941260261,0.0972712682020926,0,0.059899059024669,0.00591321476890308,0.664144718049492,0,7.40304009776879,0.0340505090020516,9.69682775162772,5.53648753141912
"LO-Cisco","2.0°C","Embryo Survival",0.00937762738405915,0.00235962001689599,0.00263920217195898,0,0.218058417293714,0.0727331487095685,0.0942249201675038,0,67.3606759650937,1.38194498464979,167.206473634843,9.1046381745556
"LO-Cisco","4.5°C","Embryo Survival",0.136746359103086,0.00719248321603795,0.728908713782692,0,2.17398240389456,0.186338955005244,15.8310343865658,0,30.1695074171508,1.14529658087113,126.361466880654,3.28986813369645
"LO-Cisco","7.0°C","Embryo Survival",0.0294465998246586,0.00231357746808978,0.24960743980981,0,0.19919070219806,0.0163892861942119,1.62808227026092,0,7.27501518087231,0.049651534171376,10.8712472614854,5.02580981633264
"LO-Cisco","9.0°C","Embryo Survival",0.179826804160016,0.00192371605512771,0.307147917891579,0.0667844141458344,0.961772053316388,0.0115817306263997,1.76789831900464,0.349780993904964,5.29428815944753,0.0144108807720683,6.22335920306008,4.53776684637421
"LK-Vendace","2.0°C","Incubation Period (ADD)",0.135443920181164,0.00261276087028321,0.306525819076581,0,122.169826176644,2.64316914302735,314.051046602556,0,3147.35584574405,1808.11766850486,1188.75744538804,640.464788559379
"LK-Vendace","4.5°C","Incubation Period (ADD)",0.126945338819455,0.00203455307503122,0.254083467300085,2.71362842693109e-05,1756.55955096964,29.4818425665112,3627.95860521594,0.332382175150871,13727.8008109975,32.8152375864114,15690.1333935219,11849.320405495
"LK-Vendace","7.0°C","Incubation Period (ADD)",0.0279565115996493,0.00118687548173302,0.122804849887386,0,424.523623478563,18.3359938739064,1892.79977609335,0,14929.2655812892,40.3326423581852,17595.7239655116,12568.1925393205
"LK-Vendace","9.0°C","Incubation Period (ADD)",0.0330407475245467,0.00137143066824054,0.143804449636358,0,278.693393327314,11.7113268837356,1247.96476842583,0,8533.48448444374,30.2503443863533,10356.5317679047,6722.56415880764
"LK-Whitefish","2.0°C","Incubation Period (ADD)",0.0738918193049783,0.00262546202763727,0.276098282136085,0,657.871761946183,25.2813601804799,2699.06466684893,0,11451.9520409184,230.739674623646,28376.1033408522,2467.7363204772
"LK-Whitefish","4.5°C","Incubation Period (ADD)",0.0549204789982419,0.00427742677697055,0.58391468946612,0,2454.71936481923,233.606301444299,26415.1030807694,0,38381.2389815411,581.254071066801,79779.9940233541,10547.5380545993
"LK-Whitefish","7.0°C","Incubation Period (ADD)",0.000174103724117642,0.000135272266158997,2.20394449653537e-07,0,6.7415922640112,4.0618267262288,0.0240619152645485,0,90083.3858042886,1090.69262966103,162708.926780362,29408.9089781812
