population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,116.33734,609.5189328,20.6016051,14.87333196,16.64465724,1303.615573,465.3493602,82.4064204,493.1815928,ADD
LO-Cisco,9.0°C,76.23735184,579.7948207,41.45205083,13.57605796,3.63E-06,1262.308321,304.9494074,165.8082033,503.5574689,ADD
LO-Cisco,9.0°C,61.66099938,658.7062866,62.6891379,12.31533184,2.14E-06,1313.494759,246.6439975,250.7565516,597.0452872,ADD
LO-Cisco,9.0°C,15.62814972,639.6785051,69.79610678,4.788598674,0.16377986,1269.172383,62.51259889,279.1844271,624.0503554,ADD
LO-Cisco,9.0°C,57.25796462,481.4151019,117.056567,7.30E-06,0.054895148,1231.463289,229.0318585,468.2262682,424.1571373,ADD
LO-Cisco,9.0°C,60.56213816,588.8174231,96.78197655,10.01802068,30.04826099,1244.966359,242.2485526,387.1279062,528.2552849,ADD
LO-Cisco,9.0°C,71.65445069,662.7112262,97.29900379,0,3.965162573,1305.851736,286.6178028,389.1960152,591.0567755,ADD
LO-Cisco,9.0°C,66.28217694,585.4019286,61.19554436,0,2.31E-06,1261.335778,265.1287078,244.7821774,519.1197517,ADD
LO-Cisco,9.0°C,58.88006658,596.240873,139.1222043,0.15168827,0.004049216,1191.195155,235.5202663,556.4888171,537.3608064,ADD
LO-Cisco,9.0°C,87.4122638,597.1349604,26.71976028,0,4.63E-06,1298.42286,349.6490552,106.8790411,509.7226966,ADD
LO-Cisco,9.0°C,100.4023077,499.3548987,8.264370808,3.45E-07,61.0028449,1280.237302,401.6092307,33.05748323,398.9525911,ADD
LO-Cisco,9.0°C,66.48168849,663.3154294,56.72741943,9.378954082,26.20377599,1284.071001,265.926754,226.9096777,596.8337409,ADD
LO-Cisco,9.0°C,63.42967629,611.4613296,54.37399881,0,36.46090754,1269.444935,253.7187051,217.4959952,548.0316533,ADD
LO-Cisco,9.0°C,67.41844403,559.0117376,88.88855609,3.98E-06,0.000693458,1284.901722,269.6737761,355.5542244,491.5932936,ADD
LO-Cisco,9.0°C,26.23216943,493.8492585,116.3645054,7.28E-07,42.32808722,1299.107201,104.9286777,465.4580215,467.617089,ADD
LO-Cisco,9.0°C,49.90179031,573.3197339,78.61040684,3.932851128,18.77819733,1229.783142,199.6071612,314.4416273,523.4179436,ADD
LO-Cisco,9.0°C,67.78616817,579.914041,91.47829447,8.01E-07,12.16244112,1253.924051,271.1446727,365.9131779,512.1278728,ADD
LO-Cisco,9.0°C,53.91556274,619.6400248,98.46442897,8.338271186,3.61E-06,1259.864687,215.6622509,393.8577159,565.724462,ADD
LO-Cisco,9.0°C,35.30158429,566.3219323,27.89428466,0,78.42922471,1305.359346,141.2063372,111.5771386,531.0203481,ADD
LO-Cisco,9.0°C,29.46767915,635.165361,78.60462085,0,0,1207.961859,117.8707166,314.4184834,605.6976818,ADD
LO-Cisco,9.0°C,75.14299243,596.5898144,94.58980116,0.982709781,0,1209.102769,300.5719697,378.3592046,521.4468219,ADD
LO-Cisco,9.0°C,58.34916902,591.7966403,18.91397549,3.193922074,64.94358453,1305.951812,233.3966761,75.65590197,533.4474713,ADD
LO-Cisco,9.0°C,53.78413791,664.6049911,134.9914868,4.726236122,36.52490443,1289.380456,215.1365517,539.9659471,610.8208531,ADD
LO-Cisco,9.0°C,35.71209533,645.6236221,98.14336633,0,0.000109411,1216.62445,142.8483813,392.5734653,609.9115268,ADD
LO-Cisco,9.0°C,65.29007564,544.1582989,67.6505057,0,63.95877637,1225.933764,261.1603026,270.6020228,478.8682233,ADD
LO-Cisco,9.0°C,63.75062195,611.0553969,77.40933424,0,40.1841919,1217.536763,255.0024878,309.637337,547.3047749,ADD
LO-Cisco,9.0°C,76.8402414,640.003974,60.72583254,27.08243772,0.000155649,1207.856221,307.3609656,242.9033301,563.1637326,ADD
LO-Cisco,9.0°C,47.08056141,507.3283539,84.42169885,0,14.12264316,1277.100324,188.3222456,337.6867954,460.2477924,ADD
LO-Cisco,9.0°C,66.67570933,589.7285037,7.16E-07,4.038234424,3.36E-06,1300.374082,266.7028373,2.87E-06,523.0527943,ADD
LO-Cisco,9.0°C,57.36824028,701.9697935,69.50954664,0,0.011036162,1224.444575,229.4729611,278.0381866,644.6015532,ADD
LO-Cisco,9.0°C,83.30871666,668.8758401,46.26855305,1.835716239,4.162622988,1335.779854,333.2348666,185.0742122,585.5671235,ADD
LO-Cisco,9.0°C,23.98230102,612.9072448,88.05044003,0,3.79E-05,1206.894918,95.92920406,352.2017601,588.9249438,ADD
LO-Cisco,9.0°C,65.37676313,598.9829473,80.12110678,9.922169063,0,1266.11189,261.5070525,320.4844271,533.6061842,ADD
