population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,0.685743941,7.41642057,0.616678094,0,1.81E-07,16.73226916,2.742975763,2.466712376,6.730676629,dpf
LO-Cisco,9.0°C,0.595581855,5.966546384,1.229612031,0.18869414,1.03283253,16.30816303,2.382327419,4.918448122,5.370964529,dpf
LO-Cisco,9.0°C,0.892881858,7.866755688,1.08839723,0.014417846,7.68E-08,16.07769869,3.571527431,4.353588918,6.97387383,dpf
LO-Cisco,9.0°C,1.126228402,7.896352791,1.428289976,0.048922671,1.39E-13,15.64971089,4.504913608,5.713159903,6.770124389,dpf
LO-Cisco,9.0°C,0.473187249,7.422232848,2.056298972,0,2.77E-09,15.73129592,1.892748997,8.225195889,6.949045599,dpf
LO-Cisco,9.0°C,0.468787159,7.334760257,1.302995714,0,2.09E-07,16.43192359,1.875148636,5.211982857,6.865973098,dpf
LO-Cisco,9.0°C,0.798371446,7.858981172,0.632013048,0.05313091,1.72E-06,15.92731311,3.193485784,2.528052192,7.060609726,dpf
LO-Cisco,9.0°C,1.474133293,8.243456726,0.634121095,0.201914065,3.38E-07,16.29550313,5.896533171,2.536484379,6.769323434,dpf
LO-Cisco,9.0°C,0.760920894,7.84112583,0.839642217,0.049868353,0.001874414,17.22965048,3.043683575,3.358568867,7.080204936,dpf
LO-Cisco,9.0°C,0.67811822,7.520839187,0.611097911,0.234038697,4.59E-06,16.6552862,2.712472881,2.444391643,6.842720966,dpf
LO-Cisco,9.0°C,0.837584161,7.222745659,0.854155093,0.004412942,0.609225795,16.43703626,3.350336645,3.41662037,6.385161498,dpf
LO-Cisco,9.0°C,0.715041101,6.943545011,1.274954982,0.28802597,0.086492888,15.91484818,2.860164404,5.099819928,6.22850391,dpf
LO-Cisco,9.0°C,0.821092347,7.110689654,0.729364203,0,0.722827981,16.30114684,3.28436939,2.917456812,6.289597306,dpf
LO-Cisco,9.0°C,0.800950386,7.599815155,0.732271022,0,0.104519034,16.54327343,3.203801545,2.929084087,6.798864769,dpf
LO-Cisco,9.0°C,0.352221146,8.679997575,0.67971333,0.145653389,0.004225292,15.88566208,1.408884582,2.718853319,8.327776429,dpf
LO-Cisco,9.0°C,0.890420584,7.256117674,0.567430281,0.142168206,0.299696451,16.21077135,3.561682334,2.269721124,6.36569709,dpf
LO-Cisco,9.0°C,1.264040728,7.817549372,0.741295084,2.11E-08,0.050705432,17.26654118,5.056162912,2.965180338,6.553508644,dpf
LO-Cisco,9.0°C,0.670694294,7.986360402,1.244802204,0,1.16E-07,17.56768911,2.682777176,4.979208814,7.315666108,dpf
LO-Cisco,9.0°C,1.02728158,8.002740522,1.252249155,0.255065484,0.049887706,15.93711833,4.109126318,5.008996619,6.975458943,dpf
LO-Cisco,9.0°C,0.338558876,8.235250217,1.403570356,0.158281199,2.17E-07,15.31879935,1.354235505,5.614281426,7.896691341,dpf
LO-Cisco,9.0°C,0.961029692,7.515132432,0.574064644,0,8.33E-07,16.51081565,3.844118767,2.296258574,6.554102741,dpf
LO-Cisco,9.0°C,0.49903838,8.239519192,1.311760599,0,0,17.47265408,1.99615352,5.247042396,7.740480812,dpf
LO-Cisco,9.0°C,5.23E-09,7.34921204,1.883285246,0,1.93E-06,16.99497095,2.09E-08,7.533140984,7.349212035,dpf
LO-Cisco,9.0°C,0.986353621,6.70098274,1.085322177,0,0.289012143,15.75947845,3.945414482,4.341288707,5.714629119,dpf
LO-Cisco,9.0°C,1.100307368,7.523772318,0.575040452,0,0.651707586,16.51423468,4.401229471,2.300161806,6.42346495,dpf
LO-Cisco,9.0°C,0.653316045,8.546832912,0.953519414,0.017656726,0,16.92382045,2.613264179,3.814077656,7.893516867,dpf
LO-Cisco,9.0°C,1.69295325,7.790383214,1.081553884,0,1.06E-06,16.36829585,6.771812999,4.326215535,6.097429964,dpf
LO-Cisco,9.0°C,1.141564193,7.930350815,0.761898963,0.070254256,0,16.05160177,4.566256772,3.047595854,6.788786622,dpf
LO-Cisco,9.0°C,0.836200856,8.606320232,1.00869399,0,0,15.93173459,3.344803424,4.034775958,7.770119376,dpf
LO-Cisco,9.0°C,1.094411579,8.20834075,0.66648712,0.1400807,0,15.06170183,4.377646318,2.665948479,7.11392917,dpf
LO-Cisco,9.0°C,0.709962681,7.08938785,0.539661626,0.291410699,0.317703499,16.12123753,2.839850725,2.158646503,6.379425169,dpf
LO-Cisco,9.0°C,0.972065474,8.172873169,0.375329801,0,3.91E-07,16.41076479,3.888261896,1.501319206,7.200807695,dpf
LO-Cisco,9.0°C,0.704866498,7.30315582,1.0011049,0.008684209,0.933192116,16.94672984,2.819465993,4.004419602,6.598289321,dpf
LO-Cisco,9.0°C,0.859351345,7.650615432,1.374714787,0,1.39E-05,16.02070444,3.437405378,5.498859149,6.791264088,dpf
LO-Cisco,9.0°C,1.191285949,7.279561819,0.651332252,4.34E-09,0.247517522,16.44189034,4.765143796,2.605329006,6.08827587,dpf
LO-Cisco,9.0°C,0.352665216,8.923708456,1.069032094,0.402737434,7.07E-08,16.2352556,1.410660865,4.276128376,8.57104324,dpf
LO-Cisco,9.0°C,0.399283976,8.473778973,0.399106566,4.19E-07,0,17.13725004,1.597135904,1.596426263,8.074494997,dpf
LO-Cisco,9.0°C,0.856712116,7.055937507,0.864244269,0.061603991,0,15.93482578,3.426848466,3.456977077,6.199225391,dpf
LO-Cisco,9.0°C,0.651906446,7.619495365,1.107000322,0.063232965,0,15.29045785,2.607625783,4.428001288,6.967588919,dpf
LO-Cisco,9.0°C,0.704192712,7.533991635,0.872410603,0.292368914,0,16.9003244,2.816770847,3.48964241,6.829798924,dpf
LO-Cisco,9.0°C,0.688965475,7.642943786,1.078103585,0.161533474,0.006057945,15.77141515,2.755861902,4.312414342,6.95397831,dpf
LO-Cisco,9.0°C,0.512694797,6.788172159,1.085088763,0.583590171,0.63530495,16.75911489,2.050779187,4.34035505,6.275477362,dpf
LO-Cisco,9.0°C,1.186765397,7.938454883,1.358715584,0.027607675,6.21E-07,16.57622702,4.747061586,5.434862334,6.751689487,dpf
LO-Cisco,9.0°C,1.011915382,7.530241498,1.226356348,0,0,15.36076022,4.047661528,4.905425391,6.518326116,dpf
LO-Cisco,9.0°C,0.262609361,8.204637261,1.641015833,0.076693501,0.236809978,15.68616825,1.050437446,6.56406333,7.942027899,dpf
LO-Cisco,9.0°C,0.97219251,6.971921824,1.47569385,0,1.714755693,15.32605419,3.888770038,5.9027754,5.999729314,dpf
LO-Cisco,9.0°C,1.150421755,7.694630612,0.838798697,0.103111134,1.30E-08,16.20807137,4.601687021,3.355194788,6.544208857,dpf
