population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,0.178582039,0.766369631,0.263973005,1.33E-10,3.17E-09,3.289868134,0.714328157,1.05589202,0.587787591,survival
LO-Cisco,9.0°C,0.163368942,0.791601247,0.206270419,0,5.15E-10,3.289868134,0.65347577,0.825081677,0.628232305,survival
LO-Cisco,9.0°C,0.573802764,0.791580659,0.372866245,0,0,3.289868134,2.295211058,1.491464981,0.217777894,survival
LO-Cisco,9.0°C,0.295467835,0.827389836,0.128704233,0,1.25E-09,3.289868134,1.181871342,0.514816933,0.531922,survival
LO-Cisco,9.0°C,0.336517938,0.82131851,0.297454995,0.002356944,1.06E-09,3.289868134,1.346071753,1.189819979,0.484800571,survival
LO-Cisco,9.0°C,0.11100811,0.851028663,0.252181942,4.24E-07,2.49E-07,3.289868134,0.444032439,1.008727767,0.740020554,survival
LO-Cisco,9.0°C,0.360048573,0.702207239,0.11250072,0.067933644,1.25E-10,3.289868134,1.440194293,0.450002879,0.342158665,survival
LO-Cisco,9.0°C,0.244351702,0.554327984,0.530394914,0,4.78E-10,3.289868134,0.977406808,2.121579656,0.309976282,survival
LO-Cisco,9.0°C,0.238016303,0.797881381,0.112832906,0.020510778,2.58E-06,3.289868134,0.952065213,0.451331625,0.559865078,survival
LO-Cisco,9.0°C,0.437874487,0.736024186,0.035409454,4.27E-17,1.23E-08,3.289868134,1.75149795,0.141637815,0.298149698,survival
LO-Cisco,9.0°C,0.299720264,0.886342762,0.155253685,0.086950413,7.65E-08,3.289868134,1.198881054,0.621014742,0.586622498,survival
