population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,0.399252472,0.688923678,0.365791258,1.22E-06,1.82E-07,3.289868134,1.597009886,1.463165034,0.289671206,survival
LO-Cisco,9.0°C,0.123825565,0.750321673,0.403921641,0,3.38E-10,3.289868134,0.49530226,1.615686565,0.626496108,survival
LO-Cisco,9.0°C,0.204370141,0.665974373,0.164669387,4.33E-07,4.31E-07,3.289868134,0.817480564,0.658677549,0.461604232,survival
LO-Cisco,9.0°C,0.250354594,0.83701492,0.204817979,0.059040291,4.76E-06,3.289868134,1.001418377,0.819271915,0.586660326,survival
LO-Cisco,9.0°C,0.157652567,0.72101283,0.310432779,0.069350399,2.34E-06,3.289868134,0.630610267,1.241731116,0.563360264,survival
LO-Cisco,9.0°C,0.332081118,0.803317865,0.23392082,0.029531729,5.08E-06,3.289868134,1.328324474,0.935683281,0.471236747,survival
LO-Cisco,9.0°C,0.268149044,0.669956784,0.175103391,0.062987861,2.29E-06,3.289868134,1.072596176,0.700413564,0.40180774,survival
LO-Cisco,9.0°C,0.225139707,0.742331073,0.23373118,0.070808138,2.29E-06,3.289868134,0.900558827,0.93492472,0.517191366,survival
LO-Cisco,9.0°C,0.304440246,0.861891654,0.389522436,8.31E-10,1.79E-08,3.289868134,1.217760984,1.558089744,0.557451408,survival
LO-Cisco,9.0°C,0.177998636,0.92509143,0.171619563,0.001153089,1.48E-06,3.289868134,0.711994546,0.686478253,0.747092793,survival
LO-Cisco,9.0°C,0.328801194,0.857394482,0.15567714,0.049067596,2.01E-06,3.289868134,1.315204778,0.62270856,0.528593287,survival
LO-Cisco,9.0°C,0.197904106,0.90594849,0.218143432,0.055976672,1.36E-09,3.289868134,0.791616424,0.87257373,0.708044384,survival
LO-Cisco,9.0°C,0.165633713,0.886314175,0.523330879,0.064479976,2.01E-06,3.289868134,0.66253485,2.093323515,0.720680463,survival
LO-Cisco,9.0°C,0.524788368,1.004265757,0.099249291,0.03930578,1.11E-10,3.289868134,2.099153473,0.396997165,0.479477389,survival
LO-Cisco,9.0°C,0.415997387,0.783050948,0,0.111250731,0,3.289868134,1.663989549,0,0.36705356,survival
LO-Cisco,9.0°C,0.288092922,0.901866632,0.099703866,0.065857906,1.79E-06,3.289868134,1.152371688,0.398815463,0.61377371,survival
LO-Cisco,9.0°C,0.167262504,0.667965239,0.345814093,0,2.88E-09,3.289868134,0.669050017,1.383256372,0.500702734,survival
