"date","cross","trt","plate","plate.no","well.no","length.pix","calib.pix","length.mm"
2019-05-15,"F09M12",2,6,"1-6B","1-6B-2",303.78,28.4066666666667,10.6939685519831
2019-05-15,"F09M12",2,6,"1-6B","1-6B-6",312.63,28.4066666666667,11.0055151372917
2019-05-10,"F02M03",2,7,"1-7C","1-7C-3",349.23,28.8433333333333,12.1078238761123
2019-05-15,"F02M03",2,7,"1-7C","1-7C-1",355.06,28.3833333333333,12.5094539048738
2019-05-15,"F02M03",2,7,"1-7C","1-7C-4",333.31,28.3833333333333,11.7431591309454
2019-05-15,"F02M03",2,7,"1-7C","1-7C-5",351.13,28.3833333333333,12.3709923664122
2019-05-15,"F02M03",2,7,"1-7C","1-7C-6",357.98,28.3833333333333,12.6123311802701
2019-05-15,"F02M03",2,7,"1-7D","1-7D-1",346.98,28.3833333333333,12.2247798003523
2019-05-15,"F02M03",2,7,"1-7D","1-7D-2",332.71,28.3833333333333,11.7220199647681
2019-05-15,"F02M03",2,7,"1-7D","1-7D-4",346.84,28.3833333333333,12.2198473282443
2019-05-15,"F02M03",2,7,"1-7D","1-7D-5",346.6,28.3833333333333,12.2113916617733
2019-05-15,"F02M03",2,7,"1-7D","1-7D-6",360.36,28.3833333333333,12.6961832061069
2019-03-29,"F09M12",2,8,"1-8B","1-8B-4",187.41,21.39,8.76157082748948
2019-04-19,"F09M12",2,8,"1-8B","1-8B-1",285.88,29.13,9.81393752145554
2019-05-15,"F09M12",2,8,"1-8A","1-8A-1",301.11,28.3066666666667,10.6374234573716
2019-05-15,"F09M12",2,8,"1-8A","1-8A-2",297.36,28.3066666666667,10.5049458313707
2019-05-15,"F09M12",2,8,"1-8A","1-8A-4",302.58,28.3066666666667,10.689354686764
2019-05-15,"F09M12",2,8,"1-8A","1-8A-5",306.35,28.3066666666667,10.8225388601036
2019-05-15,"F09M12",2,8,"1-8B","1-8B-3",306.32,28.3066666666667,10.8214790390956
2019-05-15,"F09M12",2,8,"1-8B","1-8B-5",307.54,28.3066666666667,10.8645784267546
2019-05-15,"F09M12",2,8,"1-8B","1-8B-6",316.14,28.3066666666667,11.1683937823834
2019-05-28,"F09M12",2,8,"1-8A","1-8A-3",274.7,29.2766666666667,9.38289878173745
2019-05-08,"F10M14",2,9,"1-9C","1-9C-1",323.35,29.1666666666667,11.0862857142857
2019-05-08,"F10M14",2,9,"1-9C","1-9C-4",325.03,29.1666666666667,11.1438857142857
2019-05-09,"F06M06",2,9,"1-9A","1-9A-2",341.59,29.01,11.7749052051017
2019-05-09,"F10M14",2,9,"1-9C","1-9C-1",328.5,29.01,11.3236814891417
2019-05-09,"F10M14",2,9,"1-9D","1-9D-3",345.45,29.01,11.9079627714581
2019-05-09,"F06M06",2,9,"1-9B","1-9B-1",324.12,28.9433333333333,11.1984337210641
2019-05-09,"F10M14",2,9,"1-9C","1-9C-4",315.75,28.9433333333333,10.9092479557757
2019-05-15,"F06M06",2,9,"1-9A","1-9A-1",331.63,28.6033333333333,11.5941032513693
2019-05-15,"F06M06",2,9,"1-9A","1-9A-3",337.78,28.6033333333333,11.8091131569747
2019-05-15,"F06M06",2,9,"1-9A","1-9A-4",331.79,28.6033333333333,11.5996970050111
2019-05-15,"F06M06",2,9,"1-9A","1-9A-5",336.21,28.6033333333333,11.7542244493649
2019-05-15,"F06M06",2,9,"1-9A","1-9A-6",329.11,28.6033333333333,11.5060016315115
2019-05-15,"F06M06",2,9,"1-9B","1-9B-2",344.48,28.6033333333333,12.0433515907237
2019-05-15,"F06M06",2,9,"1-9B","1-9B-3",342.92,28.6033333333333,11.9888124927165
2019-05-15,"F06M06",2,9,"1-9B","1-9B-4",321.71,28.6033333333333,11.2472905255798
2019-05-15,"F06M06",2,9,"1-9B","1-9B-5",337.91,28.6033333333333,11.8136580818086
2019-05-15,"F06M06",2,9,"1-9B","1-9B-6",321.74,28.6033333333333,11.2483393543876
2019-05-15,"F10M14",2,9,"1-9C","1-9C-2",311.22,28.6033333333333,10.8805500524414
2019-05-15,"F10M14",2,9,"1-9C","1-9C-3",328.19,28.6033333333333,11.4738375480713
2019-05-15,"F10M14",2,9,"1-9C","1-9C-5",321.33,28.6033333333333,11.2340053606806
2019-05-15,"F10M14",2,9,"1-9D","1-9D-1",281.2,28.6033333333333,9.83102202540496
2019-05-15,"F10M14",2,9,"1-9D","1-9D-2",315.95,28.6033333333333,11.0459153944762
2019-05-15,"F10M14",2,9,"1-9D","1-9D-4",322.72,28.6033333333333,11.2826010954434
2019-05-15,"F10M14",2,9,"1-9D","1-9D-5",309.79,28.6033333333333,10.8305558792682
2019-05-15,"F10M14",2,9,"1-9D","1-9D-6",331.02,28.6033333333333,11.5727770656101
2019-05-15,"F10M14",2,9,"1-9C","1-9C-6",276.32,28.0666666666667,9.84513064133017
2019-05-02,"F11M14",2,10,"1-10A","1-10A-4",328.8,29.0733333333333,11.3093327218528
2019-05-06,"F11M14",2,10,"1-10A","1-10A-1",303.72,28.7766666666667,10.5543843391637
2019-05-08,"F11M14",2,10,"1-10A","1-10A-5",327.86,28.91,11.3407125562089
2019-05-08,"F11M14",2,10,"1-10B","1-10B-3",314.04,28.91,10.8626772742996
2019-05-15,"F11M14",2,10,"1-10A","1-10A-2",329.67,28.57,11.5390269513476
2019-05-15,"F11M14",2,10,"1-10A","1-10A-6",335.4,28.57,11.739586979349
2019-05-15,"F11M14",2,10,"1-10B","1-10B-1",263.15,28.57,9.21071053552678
2019-05-15,"F11M14",2,10,"1-10B","1-10B-2",323.43,28.57,11.3206160308015
2019-05-15,"F11M14",2,10,"1-10B","1-10B-4",335.87,28.57,11.7560378018901
2019-05-15,"F11M14",2,10,"1-10B","1-10B-5",287.39,28.57,10.0591529576479
2019-05-15,"F11M14",2,10,"1-10B","1-10B-6",325.55,28.57,11.394819740987
2019-05-15,"F01M02",2,10,"1-10C","1-10C-1",339.38,28.57,11.8788939446972
2019-05-15,"F01M02",2,10,"1-10C","1-10C-3",310.6,28.57,10.8715435771789
2019-05-15,"F01M02",2,10,"1-10C","1-10C-6",325.45,28.57,11.3913195659783
2019-05-15,"F01M02",2,10,"1-10D","1-10D-1",335.87,28.57,11.7560378018901
2019-05-15,"F01M02",2,10,"1-10D","1-10D-2",320.01,28.57,11.2009100455023
2019-05-15,"F01M02",2,10,"1-10D","1-10D-4",329.3,28.57,11.5260763038152
2019-04-30,"F06M06",2,11,"1-11A","1-11A-5",320.79,29.3066666666667,10.9459736123749
2019-04-30,"F10M14",2,11,"1-11C","1-11C-6",312.87,29.3066666666667,10.6757279344859
2019-05-02,"F06M06",2,11,"1-11B","1-11B-6",313.34,29.05,10.786230636833
2019-05-08,"F10M14",2,11,"1-11C","1-11C-4",318.62,29.2733333333333,10.8843088134821
2019-05-10,"F06M06",2,11,"1-11B","1-11B-2",326.6,29.1266666666667,11.2130922407874
2019-05-10,"F06M06",2,11,"1-11B","1-11B-4",334.16,29.1266666666667,11.4726482032502
2019-05-10,"F10M14",2,11,"1-11C","1-11C-1",328.5,29.1266666666667,11.2783245593957
2019-05-10,"F10M14",2,11,"1-11D","1-11D-1",321.56,29.1266666666667,11.0400549324788
2019-05-15,"F06M06",2,11,"1-11A","1-11A-1",315.05,28.34,11.1167960479887
2019-05-15,"F06M06",2,11,"1-11A","1-11A-3",333.22,28.34,11.757939308398
2019-05-15,"F06M06",2,11,"1-11A","1-11A-4",335.83,28.34,11.8500352858151
2019-05-15,"F06M06",2,11,"1-11A","1-11A-6",330.86,28.34,11.6746647847565
2019-05-15,"F06M06",2,11,"1-11B","1-11B-1",319.92,28.34,11.2886379675371
2019-05-15,"F06M06",2,11,"1-11B","1-11B-5",344.5,28.34,12.1559633027523
2019-05-15,"F10M14",2,11,"1-11C","1-11C-2",328.43,28.34,11.5889202540579
2019-05-15,"F10M14",2,11,"1-11C","1-11C-3",316.01,28.34,11.1506704304869
2019-05-15,"F10M14",2,11,"1-11C","1-11C-5",312.93,28.34,11.0419901199718
2019-05-15,"F10M14",2,11,"1-11D","1-11D-2",314.94,28.34,11.1129146083275
2019-05-15,"F10M14",2,11,"1-11D","1-11D-3",324.86,28.34,11.4629498941426
2019-05-15,"F10M14",2,11,"1-11D","1-11D-4",319.66,28.34,11.2794636556104
2019-05-15,"F10M14",2,11,"1-11D","1-11D-5",280.65,28.34,9.9029640084686
2019-05-15,"F10M14",2,11,"1-11D","1-11D-6",329.26,28.34,11.6182074805928
2019-05-28,"F06M06",2,11,"1-11A","1-11A-2",334.54,28.8166666666667,11.6092539039907
2019-05-28,"F06M06",2,11,"1-11B","1-11B-3",321.01,28.8166666666667,11.1397339502603
2019-04-13,"F11M14",2,12,"1-12A","1-12A-2",270.46,29.39,9.20244981286152
2019-04-30,"F11M14",2,12,"1-12A","1-12A-6",306.76,29.2366666666667,10.4923041842435
