"population","temperature","date","mean.daily.temp","ADD"
"ontario",2,2018-12-03,1.96233333333333,1.96233333333333
"ontario",2,2018-12-04,1.96233333333333,3.92466666666667
"ontario",2,2018-12-05,1.96233333333333,5.887
"ontario",2,2018-12-06,1.96233333333333,7.84933333333333
"ontario",2,2018-12-07,1.96233333333333,9.81166666666667
"ontario",2,2018-12-08,1.96233333333333,11.774
"ontario",2,2018-12-09,1.96233333333333,13.7363333333333
"ontario",2,2018-12-10,1.94213715277778,15.6784704861111
"ontario",2,2018-12-11,1.9778515625,17.6563220486111
"ontario",2,2018-12-12,1.97166666666667,19.6279887152778
"ontario",2,2018-12-13,1.93434114583333,21.5623298611111
"ontario",2,2018-12-14,1.86034114583333,23.4226710069444
"ontario",2,2018-12-15,1.94904166666667,25.3717126736111
"ontario",2,2018-12-16,1.93649479166667,27.3082074652778
"ontario",2,2018-12-17,1.93375520833333,29.2419626736111
"ontario",2,2018-12-18,1.95403385416667,31.1959965277778
"ontario",2,2018-12-19,1.8836171875,33.0796137152778
"ontario",2,2018-12-20,1.9123828125,34.9919965277778
"ontario",2,2018-12-21,1.92978385416667,36.9217803819444
"ontario",2,2018-12-22,1.95874479166667,38.8805251736111
"ontario",2,2018-12-23,1.94892708333333,40.8294522569444
"ontario",2,2018-12-24,1.94149739583333,42.7709496527778
"ontario",2,2018-12-25,1.93650260416667,44.7074522569444
"ontario",2,2018-12-26,1.93763020833333,46.6450824652778
"ontario",2,2018-12-27,1.9386953125,48.5837777777778
"ontario",2,2018-12-28,1.93846614583333,50.5222439236111
"ontario",2,2018-12-29,1.95158333333333,52.4738272569444
"ontario",2,2018-12-30,1.940375,54.4142022569444
"ontario",2,2018-12-31,1.93159895833333,56.3458012152778
"ontario",2,2019-01-01,1.9388828125,58.2846840277778
"ontario",2,2019-01-02,1.94290104166667,60.2275850694444
"ontario",2,2019-01-03,1.95656770833333,62.1841527777778
"ontario",2,2019-01-04,1.92333072916667,64.1074835069444
"ontario",2,2019-01-05,1.89809895833333,66.0055824652778
"ontario",2,2019-01-06,1.89718229166667,67.9027647569444
"ontario",2,2019-01-07,1.900828125,69.8035928819444
"ontario",2,2019-01-08,1.9206796875,71.7242725694445
"ontario",2,2019-01-09,1.92061979166667,73.6448923611111
"ontario",2,2019-01-10,1.91458854166667,75.5594809027778
"ontario",2,2019-01-11,1.91423697916667,77.4737178819445
"ontario",2,2019-01-12,1.91590364583333,79.3896215277778
"ontario",2,2019-01-13,1.9315546875,81.3211762152778
"ontario",2,2019-01-14,1.93290625,83.2540824652778
"ontario",2,2019-01-15,1.97065885416667,85.2247413194444
"ontario",2,2019-01-16,1.97189583333333,87.1966371527778
"ontario",2,2019-01-17,1.99547135416667,89.1921085069445
"ontario",2,2019-01-18,1.99441145833333,91.1865199652778
"ontario",2,2019-01-19,2.0162578125,93.2027777777778
"ontario",2,2019-01-20,2.04454166666667,95.2473194444444
"ontario",2,2019-01-21,2.05891927083333,97.3062387152778
"ontario",2,2019-01-22,2.08236979166667,99.3886085069445
"ontario",2,2019-01-23,2.06193489583333,101.450543402778
"ontario",2,2019-01-24,2.00329166666667,103.453835069444
"ontario",2,2019-01-25,1.98119270833333,105.435027777778
"ontario",2,2019-01-26,2.005125,107.440152777778
"ontario",2,2019-01-27,2.0285859375,109.468738715278
