"population","temperature","sire","dam","dam.sire","block","residual","additive","nonadd","maternal","trait"
"LO-Cisco","9.0°C",0.248834291301828,0.75819359710657,0.314948482358204,1.92870341445994e-06,3.28986813369645,0.995337165207313,1.25979392943282,0.509359305804742,"survival"
"LO-Cisco","9.0°C",0.290661848452605,0.774322558499517,0.113787783479666,0,3.28986813369645,1.16264739381042,0.455151133918665,0.483660710046913,"survival"
"LO-Cisco","9.0°C",0.173394569017744,0.637539880329357,0.249275106164177,0,3.28986813369645,0.693578276070975,0.99710042465671,0.464145311311614,"survival"
"LO-Cisco","9.0°C",0.317672097828565,0.687397290568843,0.309758463518696,0,3.28986813369645,1.27068839131426,1.23903385407479,0.369725192740278,"survival"
"LO-Cisco","9.0°C",0.191562706924688,0.688354135519295,0.331381387303366,0,3.28986813369645,0.766250827698753,1.32552554921347,0.496791428594607,"survival"
"LO-Cisco","9.0°C",0.31160170080925,0.942954295671964,0.178414895268489,9.68615348573075e-10,3.28986813369645,1.246406803237,0.713659581073957,0.631352594862714,"survival"
"LO-Cisco","9.0°C",0.204557254347255,0.759566083226816,0.330831458205584,5.90947537504306e-09,3.28986813369645,0.818229017389019,1.32332583282233,0.555008828879561,"survival"
"LO-Cisco","9.0°C",0.25363750985616,0.815563374066049,0.17178803562644,2.15446894418107e-10,3.28986813369645,1.01455003942464,0.687152142505762,0.561925864209889,"survival"
"LO-Cisco","9.0°C",0.153229484609617,0.660149701356067,0.386285138187917,3.09940696722937e-06,3.28986813369645,0.612917938438469,1.54514055275167,0.506920216746449,"survival"
"LO-Cisco","9.0°C",0.337870077629275,0.647685794515627,0.240730598563066,1.90679651674465e-09,3.28986813369645,1.3514803105171,0.962922394252265,0.309815716886352,"survival"
"LO-Cisco","9.0°C",0.242962377697182,0.669186801265874,0.378978382892788,4.576051457224e-07,3.28986813369645,0.971849510788727,1.51591353157115,0.426224423568693,"survival"
"LO-Cisco","9.0°C",0.467230402154204,0.937268562463206,0.218489048356168,2.3268718456871e-09,3.28986813369645,1.86892160861681,0.873956193424671,0.470038160309002,"survival"
"LO-Cisco","9.0°C",0.181913599712606,0.615032340924336,0.42240152042129,1.61847345817154e-06,3.28986813369645,0.727654398850424,1.68960608168516,0.43311874121173,"survival"
"LO-Cisco","9.0°C",0.193823720864584,0.862475167275524,0.251671170140246,1.66805709755242e-10,3.28986813369645,0.775294883458334,1.00668468056098,0.668651446410941,"survival"
"LO-Cisco","9.0°C",0.341207814717348,1.16613449460876,0.302856178522336,0,3.28986813369645,1.36483125886939,1.21142471408935,0.824926679891415,"survival"
"LO-Cisco","9.0°C",0.257201587754078,0.722470601847145,0.286833797043089,1.89589101105825e-10,3.28986813369645,1.02880635101631,1.14733518817235,0.465269014093067,"survival"
"LO-Cisco","9.0°C",0.325414439001763,0.832801315436696,0.255343987352641,1.58405809726199e-08,3.28986813369645,1.30165775600705,1.02137594941056,0.507386876434933,"survival"
"LO-Cisco","9.0°C",0.265319585572086,0.723980598401185,0.233846867696944,2.80182833916621e-10,3.28986813369645,1.06127834228835,0.935387470787776,0.458661012829099,"survival"
"LO-Cisco","9.0°C",0.426856873990289,0.762202226237697,0.182670575569176,4.62846382385082e-13,3.28986813369645,1.70742749596116,0.730682302276702,0.335345352247408,"survival"
"LO-Cisco","9.0°C",0.418357994260662,0.737762597908838,0.247856050376024,1.4340747139432e-10,3.28986813369645,1.67343197704265,0.991424201504096,0.319404603648175,"survival"
"LO-Cisco","9.0°C",0.130586216098076,0.754169635029813,0.255441560651737,1.01687298685979e-09,3.28986813369645,0.522344864392306,1.02176624260695,0.623583418931736,"survival"
"LO-Cisco","9.0°C",0.175433633039342,0.724812510725576,0.292764600543206,0,3.28986813369645,0.701734532157367,1.17105840217282,0.549378877686234,"survival"
"LO-Cisco","9.0°C",0.134796012445842,0.799475255816372,0.330896589611812,0,3.28986813369645,0.539184049783368,1.32358635844725,0.66467924337053,"survival"
"LO-Cisco","9.0°C",0.20842862741481,0.950232585746351,0.255077639390314,0,3.28986813369645,0.83371450965924,1.02031055756125,0.741803958331541,"survival"
"LO-Cisco","9.0°C",0.229394674646852,0.827070187237042,0.204971021951146,1.62532760415118e-08,3.28986813369645,0.91757869858741,0.819884087804583,0.59767551259019,"survival"
"LO-Cisco","9.0°C",0.159819355057435,0.791309254409164,0.465141367517378,0.020880544662773,3.28986813369645,0.639277420229741,1.86056547006951,0.631489899351729,"survival"
"LO-Cisco","9.0°C",0.147391680754988,0.699397440532561,0.310315362790012,0,3.28986813369645,0.589566723019952,1.24126145116005,0.552005759777573,"survival"
"LO-Cisco","9.0°C",0.182921161917096,0.739373227065443,0.281704684557457,5.03588730943919e-09,3.28986813369645,0.731684647668384,1.12681873822983,0.556452065148347,"survival"
"LO-Cisco","9.0°C",0.33002542981187,0.891239775865609,0.356212063657346,2.00374756952417e-09,3.28986813369645,1.32010171924748,1.42484825462939,0.561214346053739,"survival"
"LO-Cisco","9.0°C",0.277436132510791,0.902606250500787,0.153776297223075,4.86306545937192e-10,3.28986813369645,1.10974453004316,0.615105188892301,0.625170117989996,"survival"
"LO-Cisco","9.0°C",0.221435838228586,0.747504089166662,0.297010687919702,1.43359862657506e-10,3.28986813369645,0.885743352914344,1.18804275167881,0.526068250938076,"survival"
"LO-Cisco","9.0°C",0.202127182368421,0.945284819283376,0.335797994419014,0,3.28986813369645,0.808508729473683,1.34319197767606,0.743157636914955,"survival"
