"population","temperature","sire","dam","dam.sire","block","residual","additive","nonadd","maternal","trait"
"LO-Cisco","9.0°C",106.289744276451,660.376589923401,56.5034503187058,17.5176533728812,1285.95231156004,425.158977105803,226.013801274823,554.08684564695,"ADD"
"LO-Cisco","9.0°C",39.8502133289083,687.532362056853,39.2740659740997,0.00015069310689362,1211.3790779744,159.400853315633,157.096263896399,647.682148727945,"ADD"
"LO-Cisco","9.0°C",53.7412250552215,607.558582364389,80.4009253824061,30.4444300931903,1190.93293551381,214.964900220886,321.603701529624,553.817357309167,"ADD"
"LO-Cisco","9.0°C",33.3618962935583,612.514487490655,118.385798023121,8.47358504196911e-06,1256.58797044335,133.447585174233,473.543192092485,579.152591197097,"ADD"
"LO-Cisco","9.0°C",41.2208670858679,568.31380195632,96.1046268526956,35.278342494952,1267.02984951673,164.883468343472,384.418507410782,527.092934870452,"ADD"
"LO-Cisco","9.0°C",44.8453000962288,633.583828972049,92.9376522923433,4.97159746804598e-06,1359.46239378429,179.381200384915,371.750609169373,588.73852887582,"ADD"
"LO-Cisco","9.0°C",45.3727204333995,581.429835988472,117.802497476945,10.5455329621021,1320.68461004829,181.490881733598,471.209989907779,536.057115555073,"ADD"
"LO-Cisco","9.0°C",49.7910358473691,695.862124268469,26.3728194526065,0,1219.38022297541,199.164143389476,105.491277810426,646.0710884211,"ADD"
"LO-Cisco","9.0°C",53.4643949342059,608.669838511462,55.1472611936971,0,1263.84840686436,213.857579736824,220.589044774788,555.205443577256,"ADD"
"LO-Cisco","9.0°C",33.1332929709987,583.052875163557,71.5962603192143,14.9874422121335,1279.79194616352,132.533171883995,286.385041276857,549.919582192559,"ADD"
"LO-Cisco","9.0°C",89.6804048844392,620.108098404758,91.7648922513281,1.16362751362917,1193.33969167318,358.721619537757,367.059569005312,530.427693520319,"ADD"
"LO-Cisco","9.0°C",44.3924064234302,742.791618579154,63.7477127910036,0.70378935902613,1298.77521551723,177.569625693721,254.990851164014,698.399212155724,"ADD"
"LO-Cisco","9.0°C",51.1892161366746,556.190107916731,64.3376380403521,23.0229852633321,1303.2516479345,204.756864546699,257.350552161408,505.000891780056,"ADD"
"LO-Cisco","9.0°C",58.8987981552267,595.557001966619,33.816571854834,23.6980900298723,1255.56863181962,235.595192620907,135.266287419336,536.658203811393,"ADD"
"LO-Cisco","9.0°C",25.1735767197564,549.065872400591,69.5620255742145,24.4752424721732,1257.05138792519,100.694306879026,278.248102296858,523.892295680835,"ADD"
"LO-Cisco","9.0°C",50.044599105802,621.781415722719,38.986668030893,0,1281.19661707789,200.178396423208,155.946672123572,571.736816616917,"ADD"
"LO-Cisco","9.0°C",56.4122041388853,448.822919080901,121.116029141431,114.343758300494,1261.30881683783,225.648816555541,484.464116565726,392.410714942015,"ADD"
"LO-Cisco","9.0°C",106.700353012666,508.633817613525,94.2876430274081,0,1269.69230681966,426.801412050664,377.150572109633,401.933464600859,"ADD"
"LO-Cisco","9.0°C",89.1630189108307,539.774960563061,65.9161506106837,0.002126089793414,1283.31322298283,356.652075643323,263.664602442735,450.61194165223,"ADD"
"LO-Cisco","9.0°C",51.1295678973445,584.710439587801,46.6490018026229,0,1284.86163229222,204.518271589378,186.596007210491,533.580871690457,"ADD"
"LO-Cisco","9.0°C",57.2459432155587,568.640464228712,95.9800638237196,6.74418463540291,1241.34900199987,228.983772862235,383.920255294879,511.394521013154,"ADD"
"LO-Cisco","9.0°C",72.457904094913,682.713409748614,56.1367617812065,6.12899324782989e-05,1224.69562502414,289.831616379652,224.547047124826,610.255505653701,"ADD"
"LO-Cisco","9.0°C",69.9273090124459,566.221468892683,76.6303814199906,2.37027314152165,1239.29721534647,279.709236049784,306.521525679962,496.294159880237,"ADD"
