"population","temperature","sire","dam","dam.sire","block","residual","additive","nonadd","maternal","trait"
"LO-Cisco","9.0°C",1.13952145208825,8.56452150265764,0.568367677379883,1.46031093439879e-07,16.0431841515007,4.55808580835299,2.27347070951953,7.42500005056939,"dpf"
"LO-Cisco","9.0°C",0.462505243137626,7.85403190533766,1.22960256011024,0,16.8310337204073,1.8500209725505,4.91841024044095,7.39152666220003,"dpf"
"LO-Cisco","9.0°C",0.78327753949641,7.33792828966998,0.773346093048258,1.6292710925092e-08,15.86046610378,3.13311015798564,3.09338437219303,6.55465075017357,"dpf"
"LO-Cisco","9.0°C",0.461649296864264,7.09719764936458,1.05350717171099,0.56078533730659,17.6514748721536,1.84659718745705,4.21402868684398,6.63554835250032,"dpf"
"LO-Cisco","9.0°C",0.872697723085693,6.69723134116215,0.813253264479006,0.0375807184936506,16.1908596008324,3.49079089234277,3.25301305791602,5.82453361807646,"dpf"
"LO-Cisco","9.0°C",0.928016671537668,6.86543197625019,1.00702216419139,1.81710654875115e-05,16.476809560283,3.71206668615067,4.02808865676555,5.93741530471252,"dpf"
"LO-Cisco","9.0°C",1.0601903933636,8.2356044385973,0.830983172829589,0,15.3145440391145,4.2407615734544,3.32393269131835,7.1754140452337,"dpf"
"LO-Cisco","9.0°C",0.773028164132553,8.14975758329237,0.686437296990102,0,15.2451271875894,3.09211265653021,2.74574918796041,7.37672941915981,"dpf"
"LO-Cisco","9.0°C",1.07589830057471,5.96994070157007,1.42040831313485,0,15.9366100207012,4.30359320229884,5.68163325253942,4.89404240099536,"dpf"
"LO-Cisco","9.0°C",0.906279341791411,8.1894109846428,0.76373446396459,0.143897117782112,16.7963819537711,3.62511736716564,3.05493785585836,7.28313164285139,"dpf"
"LO-Cisco","9.0°C",0.947472775292529,7.74325937943137,1.09856862117304,0,16.344127751633,3.78989110117011,4.39427448469216,6.79578660413884,"dpf"
"LO-Cisco","9.0°C",1.13054950557398,8.0796756332206,0.625582932791413,0,16.7707455461999,4.52219802229591,2.50233173116565,6.94912612764663,"dpf"
"LO-Cisco","9.0°C",0.519987764269606,8.01549391412317,1.37612424728784,0.467948700852818,16.8642139561239,2.07995105707842,5.50449698915134,7.49550614985357,"dpf"
"LO-Cisco","9.0°C",0.578523869521092,8.18845493274339,1.60846946839525,0.469432721844708,15.8083930890747,2.31409547808437,6.433877873581,7.6099310632223,"dpf"
"LO-Cisco","9.0°C",0.553380631421958,7.18698073733713,1.3833597888402,0,15.7140879756987,2.21352252568783,5.5334391553608,6.63360010591518,"dpf"
"LO-Cisco","9.0°C",0.854335531932079,7.13297969169342,0.903926342153633,0.931447203701019,16.0115601722901,3.41734212772832,3.61570536861453,6.27864415976135,"dpf"
"LO-Cisco","9.0°C",0.731574367912084,7.38063017490509,0.985755330711258,9.80748085258448e-08,16.3645240202399,2.92629747164833,3.94302132284503,6.649055806993,"dpf"
"LO-Cisco","9.0°C",1.01654054018252,7.383686373219,1.84523652678175,0.104106321795381,16.5669303069406,4.06616216073007,7.38094610712698,6.36714583303648,"dpf"
"LO-Cisco","9.0°C",0.622605257550208,6.74528022748871,1.15318494888666,0.163366976311046,17.2030022206887,2.49042103020083,4.61273979554666,6.1226749699385,"dpf"
"LO-Cisco","9.0°C",0.743515086240878,6.72250726688108,0.623754428745845,0.0508170760409135,17.2036843946616,2.97406034496351,2.49501771498338,5.9789921806402,"dpf"
"LO-Cisco","9.0°C",0.376143419588525,7.03147133211643,1.14643298682606,1.50381712187171e-08,17.3568671603072,1.5045736783541,4.58573194730424,6.65532791252791,"dpf"
"LO-Cisco","9.0°C",0.866719156419894,6.77112374167702,1.18629130477307,0.0385863785234825,15.7764701419195,3.46687662567958,4.7451652190923,5.90440458525713,"dpf"
"LO-Cisco","9.0°C",0.4266845522994,8.52297792574043,0.932678445651105,2.3542770189667e-07,16.1710373016605,1.7067382091976,3.73071378260442,8.09629337344103,"dpf"
"LO-Cisco","9.0°C",0.806113621923929,8.32339140377197,0.357136150390666,0.208644578087798,16.8619392603299,3.22445448769572,1.42854460156266,7.51727778184804,"dpf"
